Sample ID,Labelled substrate,Label pattern,abundance,Injection,Replicate,Conditions,Incubation time [value],Incubation time [units],data file ID,Retention time [value],Retention time [units],Metabolite name,CHEBI ID,atomic positions to the parent molecule,Empirical formula derivatized molecule/fragment,m/z monitored,signal intensity,isotopologue,Isotopologue [value],Isotopologue [units]
Ctr_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,0,hour,14_G1.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,327,237,,,
Ctr_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,0,hour,14_G1.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,328,65579,m0,54.97,%
Ctr_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,0,hour,14_G1.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,329,11502,m1,0.69,%
Ctr_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,0,hour,14_G1.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,330,58472,m2,43.41,%
Ctr_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,0,hour,14_G1.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,331,8005,m3,0.12,%
Ctr_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,0,hour,14_G1.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,332,1630,m4,0.79,%
Ctr_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,0,hour,14_G1.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,333,236,m5,0.01,%
Ctr_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,0,hour,14_G1.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,334,76,m6,0.02,%
Ctr_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,0,hour,14_G1.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,335,6,,,
Ctr_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,0,hour,14_G1.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,336,60,,,
