"Raw_Data_File","cells","tracer_molecule","labelled_positions","abundance","injection","Replicate","Incubation_time","Metabolite_name","CHEBI","atomic_positions","Empirical_formula","retention(min)","mz_monitored","signal_intensity","isotopologue","isotologue_abundance"
"SW620_24h_12Glc_R2_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","2","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","432.2","814","2-h_13C-1",0
"SW620_24h_12Glc_R2_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","2","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","433.2","95242","2-h_13C0",95.282
"SW620_24h_12Glc_R2_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","2","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","434.2","36184","2-h_13C1",1.384
"SW620_24h_12Glc_R2_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","2","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","435.2","22007","2-h_13C2",3.049
"SW620_24h_12Glc_R2_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","2","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","436.2","6141","2-h_13C3",0.197
"SW620_24h_12Glc_R2_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","2","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","437.2","2072","2-h_13C4",0.078
"SW620_24h_12Glc_R2_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","2","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","438.2","495","2-h_13C5",0.011
"SW620_24h_12Glc_R2_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","2","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","439.2","65","2-h_13C6",-0.001
"SW620_24h_12Glc_R2_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","2","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","440.2","-1","2-h_13C7",0
"SW620_24h_12Glc_R2_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","2","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","441.2","-53","2-h_13C8",NA
"SW620_24h_12Glc_R3_PIM_SIM_01.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","1","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","432.2","1154","2-h_13C-1",0
"SW620_24h_12Glc_R3_PIM_SIM_01.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","1","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","433.2","159057","2-h_13C0",95.53
"SW620_24h_12Glc_R3_PIM_SIM_01.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","1","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","434.2","59542","2-h_13C1",0.872
"SW620_24h_12Glc_R3_PIM_SIM_01.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","1","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","435.2","36946","2-h_13C2",3.356
"SW620_24h_12Glc_R3_PIM_SIM_01.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","1","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","436.2","10155","2-h_13C3",0.123
"SW620_24h_12Glc_R3_PIM_SIM_01.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","1","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","437.2","3552","2-h_13C4",0.128
"SW620_24h_12Glc_R3_PIM_SIM_01.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","1","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","438.2","822","2-h_13C5",-0.002
"SW620_24h_12Glc_R3_PIM_SIM_01.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","1","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","439.2","101","2-h_13C6",-0.007
"SW620_24h_12Glc_R3_PIM_SIM_01.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","1","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","440.2","103","2-h_13C7",0
"SW620_24h_12Glc_R3_PIM_SIM_01.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","1","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","441.2","-50","2-h_13C8",NA
"SW620_24h_12Glc_R3_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","432.2","759","2-h_13C-1",0
"SW620_24h_12Glc_R3_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","433.2","115023","2-h_13C0",94.67
"SW620_24h_12Glc_R3_PIM_SIM_02.CDF","SW620","D-[1,2-C13]-Glucose","1,1,0,0,0,0","50","3","2","24","2-hydroxyglutarate","chebi","C1C5","C19H41O5Si3","29.3","434.2","43185","2-h_13C1",0.962
